"","Sample.ID","Family.Unique","Block.ID","HabitatType","Region","Population","Dist.from.cg.km","Germination.Y.N","Survival.Y.N","Survival.Y.N.2017","Flower.Y.N.2016","Flower.Y.N.2017","No.Flowers.2016","Total.Flowers.2017","Fruit.Y.N.2016","Fruit.Y.N.2017","No.Fruit.2016","No.Fruit.2017","sm","sm.2","Survival.Y.N.2018","Flowering.Y.N.2018","Total.Flowers.2018","Fruit.Y.N.2018","No.Fruit.2018","seedmass.2018.g.","Surv2017","Surv2018","sm.3","sm2017","sm2018","row","BLOCK.POS","Family.NonUnique","Replicate","Collector","Collection.Date","Position","Letter.Pos","No.Position","Bench","Planting.Date","Germination.Date","No.Days.to.Germ","True.Leaf","No.Days.to.TrueLeaf","Germ.to.TrueLeaf","DTFF.2016","no.Planting.to.DTFF","No.Days.Germ.to.Flr","No.Days.TL.to.Flr","Seedmass.2016","Flowering.4.2.17.Y.N","DTFF.2017","DTFF.Ordinal.Day.2017","norm.flower.date.2017","Date.to.Bolt.2017","DtB.O.Day.2017","norm.bolt.date.2017","Date.to.Fruit.2017","Fruit.O.Day.2017","norm.fruit.date.2017","Seedmass.2017","Total.N.R.2017","DTFF.2018","DTFF.18.Oday","DtB.2018","DtB.Oday.2018","Date.to.Fruit.2018","Date.to.Fruit.Oday.2018","Non.reproductive.flowers","Latitude","Longitude","Elevation.m","n.fruit.envelopes","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH"
"633","CAR-PSR.12.8","CAR-PSR_12",8,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,0,1,0,19,0,1,0,14,0,2103,1,1,7,1,7,1.4826,1,1,1483,2103,3586,671,"8-L7",12,8,"Jill_Hamilton","7/7/2015","L7","L",7,2,"11/7/2015","11/16/2015",9,"11/24/2015",17,8,NA,NA,NA,NA,0,"1","4/2/2017",91,1,"4/23/2017",113,23,"5/15/2017",135,45,2.103,5,"4/30/2018",120,"5/3/2018",123,"5/17/2018",137,0,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"634","CAR-PSR.12.9","CAR-PSR_12",9,"Alvar","GL_alvar","CAR-PSR",1366.181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,"9-N15",12,9,"Jill_Hamilton","7/7/2015","N15","N",15,3,"11/7/2015","11/16/2015",9,NA,NA,NA,NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"635","CAR-PSR.14.1","CAR-PSR_14",1,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,"1-F7",14,1,"Jill_Hamilton","7/7/2015","F7","F",7,1,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"636","CAR-PSR.14.10","CAR-PSR_14",10,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,46,31,0,1,0,19,0,1973,1,1,7,1,4,0.3339,1,1,334,1973,2307,707,"10-H2",14,10,"Jill_Hamilton","7/7/2015","H2","H",2,3,"11/7/2015","11/16/2015",9,"11/23/2015",16,7,"8/10/2016",277,268,261,0,"1","4/2/2017",91,1,"4/19/2017",109,19,"5/30/2017",150,60,1.973,12,"4/23/2018",113,"5/7/2018",127,"5/20/2018",140,3,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"637","CAR-PSR.14.11","CAR-PSR_14",11,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,"11-J10",14,11,"Jill_Hamilton","7/7/2015","J10","J",10,3,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"638","CAR-PSR.14.12","CAR-PSR_14",12,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,0,1,0,2,0,1,0,2,0,124,1,1,1,1,1,0.0563,1,1,56,124,180,661,"12-C8",14,12,"Jill_Hamilton","7/7/2015","C8","C",8,3,"11/7/2015","11/18/2015",11,"11/25/2015",18,7,NA,NA,NA,NA,0,"1","4/2/2017",91,1,"4/23/2017",113,23,"5/23/2017",143,53,0.124,0,"5/3/2018",123,"5/10/2018",130,"5/23/2018",143,0,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"639","CAR-PSR.14.2","CAR-PSR_14",2,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,"2-E10",14,2,"Jill_Hamilton","7/7/2015","E10","E",10,1,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"640","CAR-PSR.14.3","CAR-PSR_14",3,"Alvar","GL_alvar","CAR-PSR",1366.181,1,1,1,1,1,5,20,1,1,3,11,53,2420,1,1,16,1,14,2.3867,1,1,2387,2473,4860,665,"3-H15",14,3,"Jill_Hamilton","7/7/2015","H15","H",15,1,"11/7/2015","11/15/2015",8,"11/23/2015",16,8,"6/2/2016",208,200,192,0.053,"1","4/2/2017",91,1,"4/16/2017",106,16,"5/15/2017",135,45,2.42,9,"4/16/2018",106,"5/10/2018",130,"5/20/2018",140,2,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"641","CAR-PSR.14.4","CAR-PSR_14",4,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,"4-K12",14,4,"Jill_Hamilton","7/7/2015","K12","K",12,1,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
"642","CAR-PSR.14.5","CAR-PSR_14",5,"Alvar","GL_alvar","CAR-PSR",1366.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,"5-K14",14,5,"Jill_Hamilton","7/7/2015","K14","K",14,2,"11/7/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,44.64526,-79.09458,250,40,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63
